,Title,Published_date,Views,Likes,Favourite,Comments,Month
136,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,13103,493,0,58,Sep
137,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7494,254,0,34,Sep
138,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5114,196,0,56,Sep
139,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4323,157,0,35,Sep
140,The 5 Pillars of Success I Live By,2020-09-11,10153,873,0,152,Sep
141,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1892,78,0,25,Sep
142,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,4052,163,0,43,Sep
143,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11874,739,0,144,Sep
144,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,18024,573,0,89,Sep
145,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,18154,795,0,93,Aug
146,Why I'm Starting Data Science Over Again.,2020-08-29,50791,2603,0,450,Aug
147,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,15268,634,0,77,Aug
148,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,13118,469,0,55,Aug
149,Don't Buy My Course..,2020-08-21,7344,360,0,146,Aug
150,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,29135,1114,0,166,Aug
151,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3249,127,0,38,Aug
152,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6341,538,0,108,Aug
153,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,5044,184,0,39,Aug
154,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,12785,400,0,53,Aug
155,The Plagiarism Problem in Data Science,2020-08-07,13093,628,0,145,Aug
156,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14474,602,0,89,Aug
157,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4931,186,0,56,Aug
158,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11476,582,0,90,Jul
159,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2326,116,0,34,Jul
160,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5680,250,0,112,Jul
161,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8249,247,0,199,Jul
162,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1862,97,0,27,Jul
163,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,29295,565,0,90,Jul
164,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,344034,7520,0,430,Jul
165,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,30395,1124,0,121,Jul
166,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3650,135,0,50,Jul
167,The Best Computer for Data Science Beginners,2020-07-10,38861,860,0,158,Jul
168,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6175,231,0,82,Jul
169,Critiquing MY OWN Data Science Resume,2020-07-06,12715,399,0,88,Jul
170,Where to Start Learning Data Science,2020-07-03,18930,781,0,127,Jul
171,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4178,197,0,35,Jul
172,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4620,176,0,52,Jun
173,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,16630,554,0,79,Jun
174,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2423,82,0,40,Jun
175,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2387,139,0,49,Jun
176,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4401,168,0,46,Jun
